GEOCOD,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__y_,Long__x_
"RUA LEONCIO DE CARVALHO, 233,SAO PAULO, SAO PAULO,BRASIL","036014117463000758","036","014","117463","00","0758",VM,VMN,"1",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","9602","1437",RUA LEONCIO DE CARVALHO,"233","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5721715","-46,6469065"
"RUA EMBUACU, 511,SAO PAULO, SAO PAULO,BRASIL","042188064238000074","042","188","064238","00","0074",VM,VMN,"2",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","1435",RUA EMBUACU,"511","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5966892","-46,6248894"
"RUA GAMA LOBO, 2124,SAO PAULO, SAO PAULO,BRASIL","043103077461000073","043","103","077461","00","0073",IP,IPI,"3",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","940",RUA GAMA LOBO,"2124","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,6029625","-46,6116549"
"RUA TURIASSU, 1165,SAO PAULO, SAO PAULO,BRASIL","021038192597000508","021","038","192597","00","0508",LA,PRD,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","413",RUA TURIASSU,"1165","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5317015","-46,6741836"
"RUA PEDRO BELLEGARDE, 330,SAO PAULO, SAO PAULO,BRASIL","054029158828000655","054","029","158828","00","0655",MO,TAT,"1",S,S,ZEIS-5,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","654","567",RUA PEDRO BELLEGARDE,"330","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5397734","-46,5585103"
"RUA ALMEIDA BRANDAO, 292,SAO PAULO, SAO PAULO,BRASIL","058080007781000022","058","080","007781","00","0022",PE,VMT,"3",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","190","159",RUA ALMEIDA BRANDAO,"292","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5329432","-46,5134906"
"AV MERCURIO, 375,SAO PAULO, SAO PAULO,BRASIL","002093138533000001","002","093","138533","00","0001",SE,SEE,"2",S,S,ZC,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"18",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","9204",AVENIDA  MERCURIO,"375","0","0","0",,U,,,LOTE COM ENDERECO APROXIMADO,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5421179","-46,6279447"
"TRAVESSA DOS ESTUDANTES, 376,SAO PAULO, SAO PAULO,BRASIL","005091067091000013","005","091","067091","00","0013",SE,SEE,"2",S,S,ZEIS-5,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"18",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","266",TRAVESSA DOS ESTUDANTES,"376","1","0","0",,U,,,LOTE COM ENDERECO APROXIMADO,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5559959","-46,6310522"
"RUA CAPOTE VALENTE, 1307,SAO PAULO, SAO PAULO,BRASIL","011069042005000619","011","069","042005","00","0619",PI,PIN,"3",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","1648",RUA CAPOTE VALENTE,"1307","2","0","0",,U,,,LOTE COM ENDERECO APROXIMADO,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5512675","-46,6801764"
"RUA CANINDE, 503,SAO PAULO, SAO PAULO,BRASIL","018059041351000182","018","059","041351","00","0182",MO,PRI,"1",S,S,ZEIS-3,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1558","585",RUA CANINDE,"503","2","0","0",,U,,,LOTE CANCELADO,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2023","0","-23,5300408","-46,6232713"
