GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__Y_,Long__x_
"RUA HONORATO PEREIRA, 200,
SAO PAULO, SAO PAULO - BRASIL","203024368806000040","203","024","368806","00","0040",PR,ANH,"1",S,S,ZMA,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","239","125",RUA HONORATO PEREIRA,"200","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2023","0","-23,4275851","-46,7935188"
"RUA DESEMBARGADOR FRANCISCO DE PAULA CRUZ NETTO, 60,
SAO PAULO, SAO PAULO - BRASIL","229055370592000032","229","055","370592","00","0032",IT,IPA,"3",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","219","255",RUA DESEMBARGADOR FRANCISCO DE PAULA CRUZ NETTO,"60","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,5015692","-46,3683929"
"RUA HONORATO PEREIRA, 210,
SAO PAULO, SAO PAULO - BRASIL","203024368806000041","203","024","368806","00","0041",PR,ANH,"1",S,S,ZMA,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","230","125",RUA HONORATO PEREIRA,"210","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2023","0","-23,4276276","-46,7936509"
"RUA ILHA DE CAPRI, 111,
SAO PAULO, SAO PAULO - BRASIL","249020403733000023","249","020","403733","00","0023",SM,IGU,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","120","169",RUA ILHA DE CAPRI,"111","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,6187439","-46,4196857"
"RUA ELIAS PEREIRA, 86,
SAO PAULO, SAO PAULO - BRASIL","228233617792000024","228","233","617792","00","0024",JT,TRE,"1",S,S,ZMA,"0",,L,"16402","2016",S,QA,"12",,L,"16402","2016",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","149","149",RUA ELIAS PEREIRA,"86","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2023","0","-23,449683","-46,5894356"
"RUA ELIAS PEREIRA, 52,
SAO PAULO, SAO PAULO - BRASIL","228233617792000020","228","233","617792","00","0020",JT,TRE,"1",S,S,ZMA,"0",,L,"16402","2016",S,QA,"12",,L,"16402","2016",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","180","169",RUA ELIAS PEREIRA,"52","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2023","0","-23,4495462","-46,5892317"
"ESTRADA CORONEL JOSÃƒÆ’Ã¢â‚¬Â° GLADIADOR, 436,
SAO PAULO, SAO PAULO - BRASIL","202100279153000001","202","100","279153","00","0001",PR,ANH,"1",S,S,ZMA,"0",,L,"16402","2016",S,ZEPAM,"0",,L,"16402","2016",QA,"12",,L,"16402","2016",QA,"10",,L,"16402","2016",MA,"5",,L,"16050","2014",ZEPEC,"0",,L,"16402","2016","1048","32220",ESTRADA CORONEL JOSE GLADIADOR,"436","0","0","0",,U,,,ZEPEC-APPA,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2023","0","-23,4366406","-46,7924875"
"AVENIDA ANTONELO DA MESSINA, 801,
SAO PAULO, SAO PAULO - BRASIL","228233163058000002","228","233","163058","00","0002",JT,TRE,"1",S,S,ZMA,"0",,L,"16402","2016",S,QA,"12",,L,"16402","2016",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","268","95",AVENIDA ANTONELO DA MESSINA,"801","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2023","0","-23,4495599","-46,5890379"
"RUA EDITOR ARNALDO MAGALHAES DE GIACOMO, 407,
SAO PAULO, SAO PAULO - BRASIL","307001681962000052","307","001","681962","00","0052",FO,FRE,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","37","189",RUA EDITOR ARNALDO MAGALHAES DE GIACOMO,"407","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2023","0","-23,4682183","-46,7038033"
"RUA ANDRE BAGI, 367,
SAO PAULO, SAO PAULO - BRASIL","190088340197000037","190","088","340197","00","0037",PJ,JAR,"1",S,S,ZMA,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","590","900",RUA ANDRE BAGI,"367","0","0","0",,U,,,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2023","0","-23,4417227","-46,7169529"
"RUA PEDRO LEME, 62,
SAO PAULO, SAO PAULO - BRASIL","194056753378000060","194","056","753378","00","0060",SM,IGU,"1",S,S,ZMA,"0",,L,"16402","2016",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","223","147",RUA PEDRO LEME,"62","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2023","0","-23,6052932","-46,4525225"
