GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat__Y_,Long__X_
"RUA CACHOEIRA, 1424,
SAO PAULO, SAO PAULO - BRASIL","017047037877000077","017","047","037877","00","0077",MO,PRI,"1",S,S,ZEMP,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","240",RUA CACHOEIRA,"1424","1","0","0",,U,,,RESOLUCAO SMUL.AOC.CTLU/004/2018,,SAO PAULO,SAO PAULO,BRASIL,NORTE,TERCEIRO QUADRIMESTRE,"2023","0","-23,5295819","-46,6109995"
"RUA MATARAZZO, 243,
SAO PAULO, SAO PAULO - BRASIL","019099136697000041","019","099","136697","00","0041",SE,BRE,"1",S,S,ZDE-1,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","640","208",RUA MATARAZZO,"243","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,TERCEIRO QUADRIMESTRE,"2023","0","-23,5232241","-46,6401272"
"RUA NOSSA SENHORA DA LAPA, 112,
SAO PAULO, SAO PAULO - BRASIL","023003146986000064","023","003","146986","00","0064",LA,LAP,"2",S,S,ZEM,"0",,R,"4","2018",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1518","926",RUA NOSSA SENHORA DA LAPA,"112","2","0","0",,U,,,RESOLUCAO SMUL.AOC.CTLU/004/2018,,SAO PAULO,SAO PAULO,BRASIL,NORDESTE,TERCEIRO QUADRIMESTRE,"2023","0","-23,5210962","-46,7028916"
"AVENIDA BRIGADEIRO LUIS ANTONIO, 3134,
SAO PAULO, SAO PAULO - BRASIL","014087121657000106","014","087","121657","00","0106",PI,JDP,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1541","610",AVENIDA BRIGADEIRO LUIS ANTONIO,"3134","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORDESTE,TERCEIRO QUADRIMESTRE,"2023","0","-23,5732101","-46,6548254"
"RUA GOMES CARDIM, 381,
SAO PAULO, SAO PAULO - BRASIL","025066080829000081","025","066","080829","00","0081",MO,BRS,"1",S,S,ZEIS-3,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","526","446",RUA GOMES CARDIM,"381","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,TERCEIRO QUADRIMESTRE,"2023","0","-23,5445248","-46,6124811"
"RUA IPANEMA, 126,
SAO PAULO, SAO PAULO - BRASIL","027019092479000040","027","019","092479","00","0040",MO,MOO,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","255","240",RUA IPANEMA,"126","2","0","0",,U,,,LOTE COM O ENDERECO DO PAI,,SAO PAULO,SAO PAULO,BRASIL,NORTE,TERCEIRO QUADRIMESTRE,"2023","0","-23,5492894","-46,6103923"
"RUA JOAO TEODORO, 973,
SAO PAULO, SAO PAULO - BRASIL","018087104850000101","018","087","104850","00","0101",MO,PRI,"1",S,S,ZEIS-3,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","930","350",RUA JOAO TEODORO,"973","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,TERCEIRO QUADRIMESTRE,"2023","0","-23,5346831","-46,6231901"
"RUA MONTEIRO DE MELO, 102,
SAO PAULO, SAO PAULO - BRASIL","023014141909000084","023","014","141909","00","0084",LA,LAP,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","300","239",RUA MONTEIRO DE MELO,"102","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORDESTE,TERCEIRO QUADRIMESTRE,"2023","0","-23,5223352","-46,7031977"
"RUA SAO BERNARDO, 251,
SAO PAULO, SAO PAULO - BRASIL","030089032913000048","030","089","032913","00","0048",MO,TAT,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"6",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","82","77",RUA SAO BERNARDO,"251","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,TERCEIRO QUADRIMESTRE,"2023","0","-23,5467337","-46,5784375"
"RUA MAESTRO CARDIM, 508,
SAO PAULO, SAO PAULO - BRASIL","033011042447000629","033","011","042447","00","0629",SE,BVI,"2",S,S,ZEU,"0",,L,"16402","2016",S,QA,"4",,L,"16402","2016",MA,"1",,L,"16050","2014",ZEPEC,"0",,L,"16402","2016",,"0",,,"0","0",,"0",,,"0","0","2856","598",RUA MAESTRO CARDIM,"508","2","0","0",,U,,,ZEPEC-TICP,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,TERCEIRO QUADRIMESTRE,"2023","0","-23,5653957","-46,6417742"
